CHR Start End Gene TenThousandStart TenThousandEnd
20 55904815 55919050 SPO11 55894815 55929050
20 60528525 60640866 TAF4 60518525 60650866
15 25582381 25684128 UBE3A 25572381 25694128
21 33031935 33041244 SOD1 33021935 33051244
3 138663066 138665982 FOXL2 138653066 138675982
7 134916731 134943244 STRA8 134906731 134953244
2 27587219 27593353 EIF2B4 27577219 27603353
7 2552163 2568811 LFNG 2542163 2578811
7 110303110 111202573 IMMP2L 110293110 111212573
14 64550950 64804830 ESR2 64540950 64814830
7 144094333 144107320 NOBOX 144084333 144117320
14 21152336 21167130 ANG 21142336 21177130
2 121103719 121109384 INHBB 121093719 121119384
7 41724712 41742706 INHBA 41714712 41752706
9 22446840 22455739 DMRTA1 22436840 22465739
6 43737921 43754224 VEGFA 43727921 43764224
18 60790579 60987361 BCL2 60780579 60997361
19 10381511 10397291 ICAM1 10371511 10407291
9 35073832 35080013 FANCG 35063832 35090013
3 183852826 184402546 EIF2B5 183842826 184412546
19 49458072 49465055 BAX 49448072 49475055
12 56229217 56236750 MMP19 56219217 56246750
18 904944 912173 ADCYAP1 894944 922173
6 1610681 1614127 FOXC1 1600681 1624127
9 138585253 138591374 SOHLH1 138575253 138601374
22 38914954 38966291 DMC1 38904954 38976291
5 137946656 138270723 CTNNA1 137936656 138280723
11 30252563 30256808 FSHB 30242563 30266808
14 23305766 23318236 MMP14 23295766 23328236
1 76262567 76378923 MSH4 76252567 76388923
20 30252255 30311792 BCL2L1 30242255 30321792
19 36208921 36229779 KMT2B 36198921 36239779
7 100805790 100808874 VGF 100795790 100818874
2 220433884 220440435 INHA 220423884 220450435
4 55524085 55606881 KIT 55514085 55616881
4 55944644 55991756 KDR 55934644 56001756
19 2249308 2252072 AMH 2239308 2262072
2 48859428 48982880 LHCGR 48849428 48992880
2 49189296 49381676 FSHR 49179296 49391676
14 75469614 75476292 EIF2B2 75459614 75486292
21 28208066 28217728 ADAMTS1 28198066 28227728
7 150688083 150711676 NOS3 150678083 150721676
4 74296855 74321891 AFP 74286855 74331891
6 108881038 109005977 FOXO3 108871038 109015977
10 69644427 69678147 SIRT1 69634427 69688147
7 127881337 127897681 LEP 127871337 127907681
11 100900355 101001255 PGR 100890355 101011255
21 16333556 16437321 NRIP1 16323556 16447321
1 230838269 230850043 AGT 230828269 230860043
3 154055461 154147504 GPR149 154045461 154157504
6 151977826 152450754 ESR1 151967826 152460754
4 75230860 75254468 EREG 75220860 75264468
4 95679119 96079599 BMPR1B 95669119 96089599
15 78459810 78538030 ACSBG1 78449810 78548030
9 127243516 127269709 NR5A1 127233516 127279709
10 72575717 72640930 SGPL1 72565717 72650930
10 124134212 124191867 PLEKHA1 124124212 124201867
4 55095264 55164414 PDGFRA 55085264 55174414
17 40351186 40428725 STAT5B 40341186 40438725
17 40439565 40463961 STAT5A 40429565 40473961
11 86656721 86666433 FZD4 86646721 86676433
7 142985308 143004789 CASP2 142975308 143014789
10 88516407 88692595 BMPR1A 88506407 88702595
13 37418968 37494902 SMAD9 37408968 37504902
5 135468534 135524435 SMAD5 135458534 135534435
12 53817639 53825318 AMHR2 53807639 53835318
9 976964 991731 DMRT3 966964 1001731
1 22443798 22470462 WNT4 22433798 22480462
19 42348806 42356401 DMRTC2 42338806 42366401
3 13857755 13921618 WNT7A 13847755 13931618
4 76503215 76555900 CDKL2 76493215 76565900
9 34551430 34590121 CNTFR 34541430 34600121
2 219433303 219461803 RQCD1 219423303 219471803
10 104590288 104597290 CYP17A1 104580288 104607290
5 6633456 6669675 SRD5A1 6623456 6679675
6 134210276 134216691 TCF21 134200276 134226691
20 42984340 43061485 HNF4A 42974340 43071485
1 164524821 164868533 PBX1 164514821 164878533
4 154701744 154710272 SFRP2 154691744 154720272
10 35927177 35930362 FZD8 35917177 35940362
5 17065707 17276943 BASP1 17055707 17286943
2 202899310 202903160 FZD7 202889310 202913160
7 37945543 38065297 SFRP4 37935543 38075297
12 130647004 130650285 FZD10 130637004 130660285
12 7940390 7948655 NANOG 7930390 7958655
10 103529899 103535854 FGF8 103519899 103545854
8 41119481 41167016 SFRP1 41109481 41177016
20 10381657 10414870 MKKS 10371657 10424870
2 183698002 183731890 FRZB 183688002 183741890
2 208627310 208634287 FZD5 208617310 208644287
11 32409321 32457176 WT1 32399321 32467176
6 87795216 87804824 CGA 87785216 87814824
8 104310661 104345094 FZD6 104300661 104355094
16 51169886 51185278 SALL1 51159886 51195278
16 54964774 54968397 IRX5 54954774 54978397
7 90893783 90898123 FZD1 90883783 90908123
8 28351729 28431775 FZD3 28341729 28441775
2 19551246 19558414 OSR1 19541246 19568414
7 128828713 128853386 SMO 128818713 128863386
8 74206847 74237516 RDH10 74196847 74247516
10 99526508 99531709 SFRP5 99516508 99541709
7 72848109 72850450 FZD9 72838109 72860450
17 42634925 42636907 FZD2 42624925 42646907
20 55204358 55214339 TFAP2C 55194358 55224339
9 841690 969090 DMRT1 831690 979090
9 1050354 1057552 DMRT2 1040354 1067552
18 19749404 19782491 GATA6 19739404 19792491
13 22245522 22278637 FGF9 22235522 22288637
9 5131979 5185668 INSL6 5121979 5195668
8 11534468 11617511 GATA4 11524468 11627511
12 66217911 66360075 HMGA2 66207911 66370075
20 61447596 61472511 COL9A3 61437596 61482511
1 204123944 204135465 REN 204113944 204145465
6 139693393 139695757 CITED2 139683393 139705757
17 70117161 70122561 SOX9 70107161 70132561
3 172223298 172241297 TNFSF10 172213298 172251297
13 32313674 32377009 RXFP2 32303674 32387009
21 35818988 35884573 KCNE1 35808988 35894573
6 160327974 160329108 MAS1 160317974 160339108
16 1031808 1036979 SOX8 1021808 1046979
11 4115937 4160106 RRM1 4105937 4170106
10 95351444 95361501 RBP4 95341444 95371501
10 117816444 118032979 GFRA1 117806444 118042979
4 174252846 174256276 HMGB2 174242846 174266276
2 24714783 24993571 NCOA1 24704783 25003571
4 111538579 111563279 PITX2 111528579 111573279
11 2465914 2870339 KCNQ1 2455914 2880339
10 135043778 135045062 UTF1 135033778 135055062
12 88886570 88974628 KITLG 88876570 88984628
22 31721790 31742218 PATZ1 31711790 31752218
3 69068978 69101484 TMF1 69058978 69111484
10 8095567 8117161 GATA3 8085567 8127161
2 111876955 111926024 BCL2L11 111866955 111936024
10 51565108 51590734 NCOA4 51555108 51600734
19 45910591 45982086 ERCC1 45900591 45992086
19 49519237 49520338 LHB 49509237 49530338
1 223282748 223316624 TLR5 223272748 223326624
12 117476728 117537284 TESC 117466728 117547284
6 42979832 42981706 MEA1 42969832 42991706
4 186990306 187009223 TLR3 186980306 187019223
9 36336393 36487545 RNF38 36326393 36497545
4 188916925 188926204 ZFP42 188906925 188936204
17 38465444 38513094 RARA 38455444 38523094
5 43289497 43313614 HMGCS1 43279497 43323614
7 117854727 117882785 ANKRD7 117844727 117892785
12 10851683 10875911 YBX3 10841683 10885911
9 71627469 71629039 PRKACG 71617469 71639039
2 47630108 47789450 MSH2 47620108 47799450
8 23536206 23540440 NKX3-1 23526206 23550440
15 74630100 74660081 CYP11A1 74620100 74670081
19 676392 683385 FSTL3 666392 693385
10 63661059 63856703 ARID5B 63651059 63866703
7 18066405 18067486 PRPS1L1 18056405 18077486
20 32676104 32700138 EIF2S2 32666104 32710138
22 43506754 43525718 BIK 43496754 43535718
10 5077546 5149878 AKR1C3 5067546 5159878
17 39991937 40004636 KLHL10 39981937 40014636
9 99794940 99801925 CTSV 99784940 99811925
4 57676026 57687908 SPINK2 57666026 57697908
3 55499743 55523973 WNT5A 55489743 55533973
8 38001167 38008783 STAR 37991167 38018783
16 89803957 89883065 FANCA 89793957 89893065
1 113009163 113072787 WNT2B 112999163 113082787
2 242498136 242513546 BOK 242488136 242523546
8 133584320 133687838 LRRC6 133574320 133697838
1 115259534 115301297 CSDE1 115249534 115311297
2 148602086 148688393 ACVR2A 148592086 148698393
19 17927321 17932383 INSL3 17917321 17942383
17 7491496 7493488 SOX15 7481496 7503488
16 28548606 28550495 NUPR1 28538606 28560495
1 197881037 197904608 LHX9 197871037 197914608
3 156391024 156424559 TIPARP 156381024 156434559
19 18682540 18688360 UBA52 18672540 18698360
13 32889611 32973805 BRCA2 32879611 32983805
17 21729601 21731762 UBBP4 21719601 21741762
17 55821842 55822673 CCDC182 55811842 55832673
1 75594119 75627218 LHX8 75584119 75637218
2 209100951 209130798 IDH1 209090951 209140798
5 52776239 52782964 FST 52766239 52792964
12 125396150 125401914 UBC 125386150 125411914
17 16284112 16286059 UBB 16274112 16296059
20 42543504 42698256 TOX2 42533504 42708256
2 55459039 55462989 RPS27A 55449039 55472989
5 133450402 133487556 TCF7 133440402 133497556
5 44303646 44389808 FGF10 44293646 44399808
9 94325373 94712444 ROR2 94315373 94722444
10 114710009 114927437 TCF7L2 114700009 114937437
13 20761609 20767037 GJB2 20751609 20777037
3 41236328 41301587 CTNNB1 41226328 41311587
6 7727030 7881655 BMP6 7717030 7891655
3 181429714 181432221 SOX2 181419714 181442221
2 176957619 176960666 HOXD13 176947619 176970666
17 44910567 44964096 WNT9B 44900567 44974096
6 55618443 55740362 BMP5 55608443 55750362
1 55315306 55352891 DHCR24 55305306 55362891
12 115108059 115121969 TBX3 115098059 115131969
11 27387508 27494322 LGR4 27377508 27504322
7 155592680 155604967 SHH 155582680 155614967
2 239335383 239360891 ASB1 239325383 239370891
9 98997588 99064434 HSD17B3 98987588 99074434
8 30689060 30748122 TEX15 30679060 30758122
7 27233122 27239725 HOXA13 27223122 27249725
15 74471807 74504608 STRA6 74461807 74514608
8 61591337 61779465 CHD7 61581337 61789465
11 64532078 64546258 SF1 64522078 64556258
6 136663875 136871957 MAP7 136653875 136881957
14 36985602 36990354 NKX2-1 36975602 37000354
11 69455855 69469242 CCND1 69445855 69479242
12 16500076 16762193 MGST1 16490076 16772193
12 49483204 49488602 DHH 49473204 49498602
5 36876861 37066515 NIPBL 36866861 37076515
12 12268959 12419946 LRP6 12258959 12429946
11 34460472 34493609 CAT 34450472 34503609
17 4613784 4624794 ARRB2 4603784 4634794
11 74975226 75062873 ARRB1 74965226 75072873
9 33104080 33167354 B4GALT1 33094080 33177354
17 77751931 77761782 CBX2 77741931 77771782
13 72012098 72441330 DACH1 72002098 72451330
12 52345451 52390862 ACVR1B 52335451 52400862
7 31092076 31151089 ADCYAP1R1 31082076 31161089
12 2904119 2914576 FKBP4 2894119 2924576
3 180701497 180707562 DNAJC19 180691497 180717562
17 36046435 36105237 HNF1B 36036435 36115237
12 112856155 112947717 PTPN11 112846155 112957717
16 2138711 2185899 PKD1 2128711 2195899
6 1390069 1395832 FOXF2 1380069 1405832
3 189349205 189615068 TP63 189339205 189625068
20 58438618 58508710 SYCP2 58428618 58518710
8 145321517 145323045 SCXB 145311517 145333045
8 145490549 145492470 SCXA 145480549 145502470
13 49550048 49783915 FNDC3A 49540048 49793915
5 118788138 118972894 HSD17B4 118778138 118982894
1 153965161 154127592 NUP210L 153955161 154137592
2 20400558 20425194 SDC1 20390558 20435194
1 156785432 156851642 NTRK1 156775432 156861642
14 23767999 23780968 BCL2L2 23757999 23790968
14 23776044 23794578 BCL2L2-PABPN1 23766044 23804578
15 41849873 41871536 TYRO3 41839873 41881536
2 112656056 112787138 MERTK 112646056 112797138
19 41725108 41767671 AXL 41715108 41777671
20 46130601 46285621 NCOA3 46120601 46295621
6 33540329 33548019 BAK1 33530329 33558019
17 35294084 35301917 LHX1 35284084 35311917
17 37560538 37607539 MED1 37550538 37617539
19 41807492 41859816 TGFB1 41797492 41869816
12 7074490 7079988 PHB2 7064490 7089988
4 20254883 20622184 SLIT2 20244883 20632184
5 168088745 168728133 SLIT3 168078745 168738133
3 75955846 77699115 ROBO2 75945846 77709115
20 1206700 1277065 RAD21L1 1196700 1287065
4 184426147 184432249 ING2 184416147 184442249
14 24641062 24649463 REC8 24631062 24659463
1 153954127 153958834 RAB13 153944127 153968834
8 106330920 106816760 ZFPM2 106320920 106826760
8 25276776 25282170 GNRH1 25266776 25292170
7 76026835 76071388 ZP3 76016835 76081388
5 132196873 132202576 GDF9 132186873 132212576
19 7733930 7735334 RETN 7723930 7745334
