CHR Start End Gene TenThousandStart TenThousandEnd
1 148555979 148596267 NBPF15 148545979 148606267
1 43232940 43263968 C1orf50 43222940 43273968
1 202995626 203047868 PPFIA4 202985626 203057868
1 40505905 40538321 CAP1 40495905 40548321
1 45965725 45976739 MMACHC 45955725 45986739
1 45976708 45988719 PRDX1 45966708 45998719
1 43272723 43282954 CCDC23 43262723 43292954
1 44457172 44497139 SLC6A9 44447172 44507139
1 43282795 43310660 ERMAP 43272795 43320660
1 148739443 148758311 NBPF16 148729443 148768311
1 203052260 203055164 MYOG 203042260 203065164
1 46016215 46035721 AKR1A1 46006215 46045721
1 203059782 203136533 ADORA1 203049782 203146533
1 149400131 149400542 HIST2H3PS2 149390131 149410542
1 43312280 43318148 ZNF691 43302280 43328148
1 203136939 203144941 MYBPH 203126939 203154941
1 149553003 149553787 PPIAL4C 149543003 149563787
1 149754227 149764074 FCGR1A 149744227 149774074
1 203148059 203155877 CHI3L1 203138059 203165877
1 43391052 43424530 SLC2A1 43381052 43434530
1 149754245 149783928 HIST2H2BF 149744245 149793928
1 149784826 149785236 HIST2H3D 149774826 149795236
1 40538379 40563375 PPT1 40528379 40573375
1 149804221 149811339 HIST2H4A 149794221 149821339
1 203181955 203242769 CHIT1 203171955 203252769
1 149811110 149812765 HIST2H3C 149801110 149822765
1 149813505 149814478 HIST2H2AA3 149803505 149824478
1 22004791 22110099 USP48 21994791 22120099
1 149822643 149823191 HIST2H2AA4 149812643 149833191
1 149824181 149825836 HIST2H3A 149814181 149835836
1 44584522 44600812 KLF17 44574522 44610812
1 149825607 149832714 HIST2H4B 149815607 149842714
1 43629846 43736607 EBNA1BP2 43619846 43746607
1 149856010 149858232 HIST2H2BE 149846010 149868232
1 203274619 203278730 BTG2 203264619 203288730
1 46049518 46084566 NASP 46039518 46094566
1 149858525 149858961 HIST2H2AC 149848525 149868961
1 44679127 44686353 DMAP1 44669127 44696353
1 149859019 149859466 HIST2H2AB 149849019 149869466
1 203309756 203320617 FMOD 203299756 203330617
1 149859440 149872351 BOLA1 149849440 149882351
1 203444956 203460480 PRELP 203434956 203470480
1 40627045 40706593 RLF 40617045 40716593
1 203463271 203477992 OPTC 203453271 203487992
1 149874870 149889434 SV2A 149864870 149899434
1 40711619 40717363 TMCO2 40701619 40727363
1 43637820 43720029 WDR65 43627820 43730029
1 40723779 40759856 ZMPSTE24 40713779 40769856
1 203595689 203713209 ATP2B4 203585689 203723209
1 149895209 149900236 SF3B4 149885209 149910236
1 40766159 40783488 COL9A2 40756159 40793488
1 203734304 203745361 LAX1 203724304 203755361
1 43735665 43739673 TMEM125 43725665 43749673
1 44686742 44820932 ERI3 44676742 44830932
1 203764782 203823252 ZC3H11A 203754782 203833252
1 43747554 43751288 C1orf210 43737554 43761288
1 22138758 22151714 LDLRAD2 22128758 22161714
1 43766664 43788779 TIE1 43756664 43798779
1 203765437 203769686 ZBED6 203755437 203779686
1 203830731 203839678 SNRPE 203820731 203849678
1 22148738 22263790 HSPG2 22138738 22273790
1 149900543 149908791 MTMR11 149890543 149918791
1 204042243 204096863 SOX13 204032243 204106863
1 46092976 46153785 GPBP1L1 46082976 46163785
1 204100190 204121307 ETNK2 204090190 204131307
1 43803478 43818443 MPL 43793478 43828443
1 44870866 45117396 RNF220 44860866 45127396
1 46152886 46160115 TMEM69 46142886 46170115
1 46159996 46216322 IPP 46149996 46226322
1 40810522 40888998 SMAP2 40800522 40898998
1 43824626 43828874 CDC20 43814626 43838874
1 204123944 204135465 REN 204113944 204145465
1 46252659 46501796 MAST2 46242659 46511796
1 204159469 204165614 KISS1 204149469 204175614
1 204167288 204183220 GOLT1A 204157288 204193220
1 149909705 149982625 OTUD7B 149899705 149992625
1 43829068 43833696 ELOVL1 43819068 43843696
1 204372515 204380919 PPP1R15B 204362515 204390919
1 40915774 40929390 ZFP69B 40905774 40939390
1 204391756 204463852 PIK3C2B 204381756 204473852
1 40942887 40962015 ZFP69 40932887 40972015
1 43849588 43855479 MED8 43839588 43865479
1 40974413 40982228 EXO5 40964413 40992228
1 46505812 46642160 PIK3R3 46495812 46652160
1 45100910 45140227 TMEM53 45090910 45150227
1 22303514 22325135 CELA3B 22293514 22335135
1 150039369 150117505 VPS45 150029369 150127505
1 40997233 41013841 ZNF684 40987233 41023841
1 22328149 22339032 CELA3A 22318149 22349032
1 46640745 46651630 TSPAN1 46630745 46661630
1 43855553 43918321 SZT2 43845553 43928321
1 45140364 45191263 C1orf228 45130364 45201263
1 22379120 22419437 CDC42 22369120 22429437
1 204485511 204542871 MDM4 204475511 204552871
1 41086351 41131329 RIMS3 41076351 41141329
1 46654354 46685977 POMGNT1 46644354 46695977
1 204586298 204654861 LRRN2 204576298 204664861
1 41157320 41237275 NFYC 41147320 41247275
1 22443798 22470462 WNT4 22433798 22480462
1 22778344 22857650 ZBTB40 22768344 22867650
1 45205490 45233439 KIF2C 45195490 45243439
1 150121373 150136916 PLEKHO1 150111373 150146916
1 22890057 22930087 EPHA8 22880057 22940087
1 46669006 46686933 LURAP1 46659006 46696933
1 46713360 46744145 RAD54L 46703360 46754145
1 46726868 46769280 LRRC41 46716868 46779280
1 150190717 150208504 ANP32E 150180717 150218504
1 22962999 22966101 C1QA 22952999 22976101
1 22970123 22974603 C1QC 22960123 22984603
1 43916824 43919660 HYI 43906824 43929660
1 22979255 22988031 C1QB 22969255 22998031
1 204797779 204991950 NFASC 204787779 205001950
1 46769303 46782448 UQCRH 46759303 46792448
1 23037332 23241818 EPHB2 23027332 23251818
1 46805849 46830824 NSUN4 46795849 46840824
1 45240923 45244451 RPS8 45230923 45254451
1 41249684 41306124 KCNQ4 41239684 41316124
1 46859937 46879520 FAAH 46849937 46889520
1 150229554 150237478 CA14 150219554 150247478
1 45249257 45253377 BEST4 45239257 45263377
1 46972668 46979898 DMBX1 46962668 46989898
1 45265897 45271662 PLK3 45255897 45281662
1 47011316 47017199 KNCN 47001316 47027199
1 43990858 44089343 PTPRF 43980858 44099343
1 41326729 41328018 CITED4 41316729 41338018
1 41445007 41478235 CTPS1 41435007 41488235
1 150237804 150241980 APH1A 150227804 150251980
1 23345941 23410182 KDM1A 23335941 23420182
